Lexeme           | Token Name
{               | D_LBRACE             | 38 
y               | L_IDENTIFIER         | 39 
=               | O_ASSIGN             | 39 
y               | L_IDENTIFIER         | 39 
-               | O_MINUS              | 39 
1               | L_BILANG_LITERAL     | 39 
;               | D_SEMICOLON          | 39 
ani             | K_ANI                | 40 
(               | D_LPAREN             | 40 
y               | L_IDENTIFIER         | 40 
)               | D_RPAREN             | 40 
;               | D_SEMICOLON          | 40 
}               | D_RBRACE             | 41 
habang          | K_HABANG             | 41 
(               | D_LPAREN             | 41 
y               | L_IDENTIFIER         | 41 
>               | O_GREATER            | 41 
0               | L_BILANG_LITERAL     | 41 
)               | D_RPAREN             | 41 
;               | D_SEMICOLON          | 41 
bilang          | R_BILANG             | 43 
a               | L_IDENTIFIER         | 43 
,               | D_COMMA              | 43 
b               | L_IDENTIFIER         | 43 
,               | D_COMMA              | 43 
c               | L_IDENTIFIER         | 43 
=               | O_ASSIGN             | 43 
5               | L_BILANG_LITERAL     | 43 
;               | D_SEMICOLON          | 43 
tanim           | K_TANIM              | 44 
(               | D_LPAREN             | 44 
a               | L_IDENTIFIER         | 44 
,               | D_COMMA              | 44 
b               | L_IDENTIFIER         | 44 
)               | D_RPAREN             | 44 
;               | D_SEMICOLON          | 44 
c               | L_IDENTIFIER         | 45 
=               | O_ASSIGN             | 45 
a               | L_IDENTIFIER         | 45 
+               | O_PLUS               | 45 
b               | L_IDENTIFIER         | 45 
;               | D_SEMICOLON          | 45 
ani             | K_ANI                | 46 
(               | D_LPAREN             | 46 
c               | L_IDENTIFIER         | 46 
)               | D_RPAREN             | 46 
;               | D_SEMICOLON          | 46 
kung            | K_KUNG               | 48 
(               | D_LPAREN             | 48 
a               | L_IDENTIFIER         | 48 
>=              | O_GREATER_EQ         | 48 
b               | L_IDENTIFIER         | 48 
)               | D_RPAREN             | 48 
{               | D_LBRACE             | 48 
ani             | K_ANI                | 49 
(               | D_LPAREN             | 49 
a               | L_IDENTIFIER         | 49 
)               | D_RPAREN             | 49 
;               | D_SEMICOLON          | 49 
}               | D_RBRACE             | 50 
kung            | K_KUNG               | 52 
(               | D_LPAREN             | 52 
a               | L_IDENTIFIER         | 52 
<=              | O_LESS_EQ            | 52 
b               | L_IDENTIFIER         | 52 
)               | D_RPAREN             | 52 
{               | D_LBRACE             | 52 
ani             | K_ANI                | 53 
(               | D_LPAREN             | 53 
b               | L_IDENTIFIER         | 53 
)               | D_RPAREN             | 53 
;               | D_SEMICOLON          | 53 
}               | D_RBRACE             | 54 
kung            | K_KUNG               | 56 
(               | D_LPAREN             | 56 
a               | L_IDENTIFIER         | 56 
!=              | O_NOT_EQUAL          | 56 
b               | L_IDENTIFIER         | 56 
)               | D_RPAREN             | 56 
{               | D_LBRACE             | 56 
ani             | K_ANI                | 57 
(               | D_LPAREN             | 57 
"Not equal"     | L_KWERDAS_LITERAL    | 57 
)               | D_RPAREN             | 57 
;               | D_SEMICOLON          | 57 
}               | D_RBRACE             | 58 
}               | D_RBRACE             | 59 
